"titles" "pubdates" "links" "Trade.Time" "Last" "Trade.Time.1" "Last.1" "Trade.Time.2" "Last.2"
28 "Nabors Industries Ltd. :NBR-US: Earnings Analysis: Q3, 2016 By the Numbers : November 4, 2016" "Fri, 04 Nov 2016 15:08:05 GMT" NA "Nov 4, 11:11AM EDT" 11.49 "Nov 4, 11:31AM EDT" 11.56 "Nov 4, 12:11PM EDT"
29 "Heres Why ENSCO PLC (ESV), Yum! Brands, Inc. (YUM), and Three Other Stocks Are Trending Today" "Fri, 04 Nov 2016 15:10:49 GMT" NA "Nov 4, 11:12AM EDT" 7.51 "Nov 4, 11:32AM EDT" 7.41 "Nov 4, 12:12PM EDT"
30 "Nabors Industries Ltd. :NBR-US: Earnings Analysis: Q3, 2016 By the Numbers : November 4, 2016" "Fri, 04 Nov 2016 15:08:05 GMT" NA "Nov 4, 11:14AM EDT" 45.32 "Nov 4, 11:34AM EDT" 45.15 "Nov 4, 12:14PM EDT"
31 "Why AT&Ts EBITDA Margin Could Continue to Grow" "Fri, 04 Nov 2016 15:04:33 GMT" NA "Nov 4, 11:14AM EDT" 38.42 "Nov 4, 11:34AM EDT" 38.43 "Nov 4, 12:14PM EDT"
32 "Even the Lowest Target Price Means Upside for Marathon Oil" "Fri, 04 Nov 2016 15:04:21 GMT" NA "Nov 4, 11:14AM EDT" 38.42 "Nov 4, 11:34AM EDT" 38.43 "Nov 4, 12:14PM EDT"
33 "Pa. Treasury suspends Wells Fargo from trading over fake accounts scandal" "Fri, 04 Nov 2016 14:58:22 GMT" NA "Nov 4, 11:14AM EDT" 36.65 "Nov 4, 11:34AM EDT" 36.65 "Nov 4, 12:14PM EDT"
34 "U.S. tentatively grants antitrust approval for Delta, Aeromexico alliance" "Fri, 04 Nov 2016 14:56:41 GMT" NA "Nov 4, 11:14AM EDT" 9.31 "Nov 4, 11:33AM EDT" 9.31 "Nov 4, 12:14PM EDT"
35 "Transocean Ltd. :RIG-US: Earnings Analysis: Q3, 2016 By the Numbers : November 4, 2016" "Fri, 04 Nov 2016 14:55:34 GMT" NA "Nov 4, 11:14AM EDT" 11.8 "Nov 4, 11:34AM EDT" 11.53 "Nov 4, 12:14PM EDT"
36 "WPX Energy, Inc. :WPX-US: Earnings Analysis: Q3, 2016 By the Numbers : November 4, 2016" "Fri, 04 Nov 2016 14:49:09 GMT" NA "Nov 4, 11:14AM EDT" 9.92 "Nov 4, 11:34AM EDT" 9.81 "Nov 4, 12:14PM EDT"
37 "IMPORTANT EQUITY ALERT: Khang & Khang LLP Announces Securities Class Action Lawsuit against Xerox Corporation and Encourages Investors with Losses to Contact the Firm" "Fri, 04 Nov 2016 14:38:00 GMT" NA "Nov 4, 11:14AM EDT" 14.17 "Nov 4, 11:34AM EDT" 13.94 "Nov 4, 12:14PM EDT"
